Material.ID,Formula,DOI,Crystal.System,Piezoelectric.Modulus,a,b,c,alpha,beta,gamma,Space.Group.Number,Space.Group.Symbol,CDM
mp-4674,BNF8,10.1038/sdata.2015.53,Tetragonal,0.32619,9.69647241,9.69647241,5.05408612,90,90,90,113,P-42_1m,0.8491
mp-4829,Na2ThF6,10.1038/sdata.2015.53,Hexagonal,0.265340842,5.90668136,5.90668103,3.83557536,90,90,120.0000072,150,P321,0.8477
mp-634418,NaCaSiHO4,10.1038/sdata.2015.53,Monoclinic,0.149570303,7.03456852,5.39814252,5.45496424,63.54857936,90,90,4,P2_1,0.5999
mp-27411,TlP5,10.1038/sdata.2015.53,Orthorhombic,0.291593132,6.49947006,7.1253407,12.30550187,90,90,90,26,Pmc2_1,0.8464
mp-14289,Ba3P4,10.1038/sdata.2015.53,Orthorhombic,0.285841473,6.23719224,8.12035351,9.71494051,82.9183866,71.27596033,67.41542023,43,Fdd2,0.6007
mp-17066,Y2TeO6,10.1038/sdata.2015.53,Orthorhombic,0.37565,5.25786431,9.06488691,9.9381965,90,90,89.99999602,19,P2_12_12_1,0.8445
mp-7441,KP,10.1038/sdata.2015.53,Orthorhombic,0.26728,6.02809154,6.54114017,11.3536189,90,90,90,19,P2_12_12_1,0.8392
mp-555217,Dy3Se4O12F,10.1038/sdata.2015.53,Hexagonal,0.287744646,10.35250356,10.35250356,6.76786428,90,90,119.9999983,186,P6_3mc,0.8392
mp-17350,La2TeO6,10.1038/sdata.2015.53,Orthorhombic,0.30244,5.51768979,9.46604022,10.38043246,90,90,90,19,P2_12_12_1,0.8391
mp-31318,Nd2TeO6,10.1038/sdata.2015.53,Orthorhombic,0.34191,5.43924828,9.33458112,10.21135645,90,90,90,19,P2_12_12_1,0.8364
mp-14288,Sr3P4,10.1038/sdata.2015.53,Orthorhombic,0.284350866,5.86718667,7.73989047,9.1943061,83.0535639,71.39353184,67.72684536,43,Fdd2,0.5981
mp-11625,KCa(PO3)3,10.1038/sdata.2015.53,Hexagonal,0.133915422,6.92176137,6.92176137,10.497721,90,90,119.999994,188,P-6c2,0.8283
mp-471,CdAs2,10.1038/sdata.2015.53,Tetragonal,0.353435606,4.7256347,6.15537009,6.15536952,81.52656947,67.42683261,67.42683613,98,I4_122,0.5272
